,word_can_search,count_with_all_chorus,count_with_first_chorus,count_with_no_chorus,list_of_indexes,textblob_polarity,textblob_subjectivity,textblob_pos_tags
164,integrity,1,1,1,[335],0.0,0.0,"[('integrity', 'NN')]"
165,honor,1,1,1,[336],0.0,0.0,"[('honor', 'NN')]"
166,lose,1,1,1,[343],0.0,0.0,"[('lose', 'VB')]"
167,long,1,1,1,[344],-0.05,0.4,"[('long', 'RB')]"
168,came,1,1,1,[347],0.0,0.0,"[('came', 'VBD')]"
169,with,4,4,4,"[348, 363, 460, 558]",0.0,0.0,"[('with', 'IN')]"
170,cry,1,1,1,[353],0.0,0.0,"[('cry', 'NN')]"
171,ain't,3,3,3,"[354, 486, 522]",0.0,0.0,"[('ai', 'VBP'), (""n't"", 'RB')]"
172,no,2,2,2,"[355, 523]",0.0,0.0,"[('no', 'DT')]"
173,shame,1,1,1,[356],0.0,0.0,"[('shame', 'NN')]"
174,didn't,1,1,1,[360],0.0,0.0,"[('did', 'VBD'), (""n't"", 'RB')]"
175,work,1,1,1,[361],0.0,0.0,"[('work', 'NN')]"
176,mom,1,1,1,[367],0.0,0.0,"[('mom', 'NN')]"
177,yo,2,2,2,"[369, 485]",0.0,0.0,"[('yo', 'NN')]"
178,push,1,1,1,[370],0.0,0.0,"[('push', 'NN')]"
179,come,2,2,2,"[371, 594]",0.0,0.0,"[('come', 'VB')]"
180,shove,1,1,1,[373],0.0,0.0,"[('shove', 'NN')]"
181,was,1,1,1,[375],0.0,0.0,"[('was', 'VBD')]"
182,conceived,1,1,1,[376],0.0,0.0,"[('conceived', 'VBN')]"
183,so,2,2,2,"[379, 447]",0.0,0.0,"[('so', 'RB')]"
184,world,1,1,1,[382],0.0,0.0,"[('world', 'NN')]"
185,attacks,1,1,1,[383],0.0,0.0,"[('attacks', 'NNS')]"
186,slide,1,1,1,[386],0.0,0.0,"[('slide', 'NN')]"
187,off,1,1,1,[387],0.0,0.0,"[('off', 'IN')]"
188,track,1,1,1,[388],0.0,0.0,"[('track', 'NN')]"
189,remember,1,1,1,[389],0.0,0.0,"[('remember', 'VB')]"
190,fact,1,1,1,[391],0.0,0.0,"[('fact', 'NN')]"
191,back,1,1,1,[395],0.0,0.0,"[('back', 'RB')]"
192,it's,2,2,2,"[436, 507]",0.0,0.0,"[('it', 'PRP'), (""'s"", 'VBZ')]"
193,full-time,1,1,1,[438],0.0,0.0,"[('full-time', 'NN')]"
194,job,1,1,1,[439],0.0,0.0,"[('job', 'NN')]"
195,much,2,2,2,"[448, 651]",0.2,0.2,"[('much', 'JJ')]"
196,stuff,1,1,1,[450],0.0,0.0,"[('stuff', 'NN')]"
197,had,1,1,1,[453],0.0,0.0,"[('had', 'VBD')]"
198,gotta,1,1,1,[455],0.0,0.0,"[('got', 'VBD'), ('ta', 'NNS')]"
199,study,1,1,1,[456],0.0,0.0,"[('study', 'NN')]"
200,keep,1,1,1,[459],0.0,0.0,"[('keep', 'VB')]"
201,changing,1,1,1,[462],0.0,0.0,"[('changing', 'VBG')]"
202,times,1,1,1,[463],0.0,0.0,"[('times', 'NNS')]"
203,101,1,1,1,[464],0.0,0.0,"[('101', 'CD')]"
204,dalmations,1,1,1,[465],0.0,0.0,"[('dalmations', 'NNS')]"
205,on,5,5,5,"[466, 477, 502, 538, 585]",0.0,0.0,"[('on', 'IN')]"
206,cd-rom,1,1,1,[468],0.0,0.0,"[('cd-rom', 'NN')]"
207,I'm,2,2,2,"[471, 600]",0.0,0.0,"[('I', 'PRP'), (""'m"", 'VBP')]"
208,trying,1,1,1,[472],0.0,0.0,"[('trying', 'VBG')]"
209,pretend,1,1,1,[474],0.0,0.0,"[('pretend', 'NN')]"
210,pc,1,1,1,[479],0.0,0.0,"[('pc', 'NN')]"
211,where,1,1,1,[480],0.0,0.0,"[('where', 'WRB')]"
212,cd,1,1,1,[482],0.0,0.0,"[('cd', 'NN')]"
213,go,2,2,2,"[483, 501]",0.0,0.0,"[('go', 'VB')]"
214,nothing,1,1,1,[487],0.0,0.0,"[('nothing', 'NN')]"
215,promised,1,1,1,[488],0.0,0.0,"[('promised', 'VBN')]"
216,day,2,2,2,"[490, 513]",0.0,0.0,"[('day', 'NN')]"
217,I'll,1,1,1,[491],0.0,0.0,"[('I', 'PRP'), (""'ll"", 'MD')]"
218,gone,1,1,1,[493],0.0,0.0,"[('gone', 'VBN')]"
219,feel,1,1,1,[494],0.0,0.0,"[('feel', 'NN')]"
220,strife,1,1,1,[496],0.0,0.0,"[('strife', 'NN')]"
221,trust,1,1,1,[498],0.0,0.0,"[('trust', 'NN')]"
222,does,1,1,1,[500],0.0,0.0,"[('does', 'VBZ')]"
223,case,1,1,1,[506],0.0,0.0,"[('case', 'NN')]"
224,place,1,1,1,[509],0.0,0.0,"[('place', 'NN')]"
225,impart,1,1,1,[511],0.0,0.0,"[('impart', 'NN')]"
226,some,1,1,1,[514],0.0,0.0,"[('some', 'DT')]"
227,girl's,1,1,1,[515],0.0,0.0,"[('girl', 'NN'), (""'s"", 'POS')]"
228,break,1,1,1,[517],0.0,0.0,"[('break', 'NN')]"
229,ooh,1,1,1,[521],0.0,0.0,"[('ooh', 'NN')]"
230,pain,1,1,1,[524],0.0,0.0,"[('pain', 'NN')]"
231,opposite,1,1,1,[528],0.0,0.0,"[('opposite', 'NN')]"
232,sex,1,1,1,[529],0.0,0.0,"[('sex', 'NN')]"
233,hurt,1,1,1,[531],0.0,0.0,"[('hurt', 'NN')]"
234,bad,2,2,2,"[532, 554]",-0.6999999999999998,0.6666666666666666,"[('bad', 'JJ')]"
235,take,1,1,1,[535],0.0,0.0,"[('take', 'VB')]"
236,next,1,1,1,[540],0.0,0.0,"[('next', 'JJ')]"
237,son,1,1,1,[541],0.0,0.0,"[('son', 'NN')]"
238,throughout,1,1,1,[542],0.0,0.0,"[('throughout', 'IN')]"
239,mad,1,1,1,[548],-0.625,1.0,"[('mad', 'NN')]"
240,disrespect,1,1,1,[549],0.0,0.0,"[('disrespect', 'NN')]"
241,treat,1,1,1,[552],0.0,0.0,"[('treat', 'NN')]"
242,god,1,1,1,[556],0.0,0.0,"[('god', 'NN')]"
243,deal,1,1,1,[557],0.0,0.0,"[('deal', 'NN')]"
244,things,1,1,1,[560],0.0,0.0,"[('things', 'NNS')]"
245,they,1,1,1,[561],0.0,0.0,"[('they', 'PRP')]"
246,hate,1,1,1,[564],-0.8,0.9,"[('hate', 'NN')]"
247,consume,1,1,1,[569],0.0,0.0,"[('consume', 'NN')]"
248,tell,1,1,1,[573],0.0,0.0,"[('tell', 'NN')]"
249,truth,1,1,1,[575],0.0,0.0,"[('truth', 'NN')]"
250,say,1,1,1,[576],0.0,0.0,"[('say', 'VB')]"
251,prayers,1,1,1,[578],0.0,0.0,"[('prayers', 'NNS')]"
252,hold,1,1,1,[579],0.0,0.0,"[('hold', 'NN')]"
253,doors,1,1,1,[580],0.0,0.0,"[('doors', 'NNS')]"
254,pull,1,1,1,[581],0.0,0.0,"[('pull', 'NN')]"
255,chairs,1,1,1,[583],0.0,0.0,"[('chairs', 'NNS')]"
256,easy,1,1,1,[584],0.43333333333333335,0.8333333333333334,"[('easy', 'JJ')]"
257,swears,1,1,1,[587],0.0,0.0,"[('swears', 'NNS')]"
258,you're,1,1,1,[588],0.0,0.0,"[('you', 'PRP'), (""'re"", 'VBP')]"
259,living,1,1,1,[589],0.0,0.0,"[('living', 'NN')]"
260,proof,1,1,1,[590],0.0,0.0,"[('proof', 'NN')]"
261,dreams,1,1,1,[592],0.0,0.0,"[('dreams', 'NNS')]"
262,here,1,1,1,[601],0.0,0.0,"[('here', 'RB')]"
263,for,2,2,2,"[602, 656]",0.0,0.0,"[('for', 'IN')]"
264,song,1,1,1,[648],0.0,0.0,"[('song', 'NN')]"
265,am,1,1,1,[652],0.0,0.0,"[('am', 'VBP')]"
266,getting,1,1,1,[654],0.0,0.0,"[('getting', 'VBG')]"
267,paid,1,1,1,[655],0.0,0.0,"[('paid', 'NN')]"
